Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994037,10520,,,,7118,75,,,
China,Western Pacific,99373219,6754,2087,,2087,122304,8,15,,15
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977765,51254,,,,7475,392,,,
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9518,39,,,,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89485,534,,,,1971,12,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88434,335,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8640008,49634,383,2,383,22986,132,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Azerbaijan,Europe,835757,8243,63,1,63,10353,102,,,
Suriname,Americas,82501,14064,,,,1406,240,,,
New Caledonia,Western Pacific,80163,28078,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7979,100,,,,125,2,,,
French Polynesia,Western Pacific,79387,28261,47,17,47,650,231,,,
Liberia,Africa,7930,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Mexico,Americas,7619458,5910,340,,340,334551,259,,,
British Virgin Islands,Americas,7557,24993,,,,64,212,,,
Eswatini,Africa,75356,6495,,,,1427,123,,,
Guyana,Americas,74443,9464,4,1,4,1302,166,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Cook Islands,Western Pacific,7345,41818,1,6,1,2,11,,,
Belize,Americas,71414,17960,,,,688,173,,,
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.75867542E8,4798837.0,47169.0,501.0,47169.0,7057145.0,29394.0,815.0,,815.0
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Cyprus,Europe,696410,78424,,,,1451,163,,,
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68567,248,,,,1428,5,,,
Indonesia,South-East Asia,6829399,2497,46,,46,162059,59,,,
Turks and Caicos Islands,Americas,6805,17576,,,,40,103,,,
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Sri Lanka,South-East Asia,672798,3142,1,,1,16907,79,,,
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Poland,Europe,6670799,17574,2463,6,2463,120726,318,4,,4
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Myanmar,South-East Asia,642885,1182,26,,26,19494,36,,,
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Colombia,Americas,6391876,12562,976,2,976,142727,281,,,
Mauritania,Africa,63872,1374,,,,997,21,,,
Republic of Moldova,Europe,637520,15804,743,18,743,12245,304,2,,2
Palau,Western Pacific,6372,35220,,,,10,55,,,
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
Estonia,Europe,610471,45935,,,,2998,226,,,
Austria,Europe,6082444,68334,15,,15,22534,253,,,
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Greece,Europe,5673681,52933,5818,54,5818,39258,366,40,,40
Portugal,Europe,5664109,55013,1055,10,1055,28809,280,50,,50
Ukraine,Europe,5532777,12651,171,,171,109920,251,,,
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
Saint Barth�lemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5401126,28254,100,1,100,62730,328,,,
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5309410,16404,1085,3,1085,37351,115,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51886,52758,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501193,436,,,,7574,7,,,
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Gabon,Africa,49051,2204,,,,307,14,,,
Belgium,Europe,4872829,42290,1277,11,1277,34339,298,,,
Israel,Europe,4841558,55936,,,,12707,147,,,
Canada,Americas,4819055,12768,38,,38,55282,146,,,
Andorra,Europe,48015,62143,,,,159,206,,,
Thailand,South-East Asia,4799180,6876,560,1,560,34715,50,1,,1
Czechia,Europe,4761919,44529,571,5,571,43509,407,1,,1
Honduras,Americas,472896,4775,1,,1,11114,112,,,
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Cura�ao,Americas,45883,27962,,,,305,186,,,
Peru,Americas,4526977,13730,,,,220975,670,,,
Armenia,Europe,452273,15263,,,,8777,296,,,
India,South-East Asia,45041748,3264,313,,313,533623,39,,,
Switzerland,Europe,4457868,51509,426,5,426,14170,164,,,
Aruba,Americas,44224,41421,,,,292,273,,,
United Republic of Tanzania,Africa,43230,72,,,,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
South Africa,Africa,4072765,6867,,,,102595,173,,,
Bosnia and Herzegovina,Europe,403666,12304,,,,16392,500,,,
International conveyance (American Samoa),Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Togo,Africa,39530,477,,,,290,4,,,
Luxembourg,Europe,393542,62855,190,30,190,1000,160,,,
Bahamas,Americas,39127,9950,,,,849,216,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
France,Europe,38997490,59960,,,,168091,258,,,
Guinea,Africa,38572,294,,,,468,4,,,
Germany,Europe,38437756,46218,,,,174979,210,,,
Isle of Man,,38008,44698,,,,116,136,,,
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Brazil,Americas,37511921,17648,,,,702116,330,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Romania,Europe,3541619,18323,4633,24,4633,68825,356,6,,6
Guernsey,,35326,54796,,,,67,104,,,
North Macedonia,Europe,350924,16844,116,6,116,9978,479,,,
Zambia,Africa,349842,1903,18,,18,4077,22,,,
Brunei Darussalam,Western Pacific,347723,79483,288,66,288,179,41,1,,1
Faroe Islands,,34658,70926,,,,28,57,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Haiti,Americas,34456,302,,,,860,8,,,
Kenya,Africa,344106,640,,,,5689,11,,,
Denmark,Europe,3435679,59004,,,,9693,166,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,335047,11642,,,,3605,125,,,
Mali,Africa,33166,164,,,,743,4,,,
Botswana,Africa,330696,14062,,,,2801,119,,,
Mauritius,Africa,328167,25804,,,,1073,84,,,
Micronesia (Federated States of),Western Pacific,31765,27616,,,,65,57,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30282,16491,,,,410,223,,,
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
International commercial vessel,Other,29,,,,,0,,,,
Benin,Africa,28036,231,,,,163,1,,,
Sweden,Europe,2755181,26678,630,6,630,27399,265,28,,28
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272139,621,18,,18,6881,16,,,
Italy,Europe,26781078,44903,6350,11,6350,197307,331,6,,6
Nigeria,Africa,267188,130,,,,3155,2,,,
Zimbabwe,Africa,266386,1792,,,,5740,39,,,
New Zealand,Western Pacific,2639048,54727,1730,36,1730,4284,89,16,,16
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Serbia,Europe,2583470,37297,,,,18057,261,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Congo,Africa,25227,457,,,,389,7,,,
Montenegro,Europe,251280,40009,,,,2654,423,,,
United Kingdom of Great Britain and Northern Ireland,Europe,24974629,36789,3400,5,3400,232112,342,,,
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Russian Federation,Europe,24268728,16630,7777,5,7777,403188,276,10,,10
Afghanistan,Eastern Mediterranean,235214,604,,,,7998,21,,,
Timor-Leste,South-East Asia,23460,1779,,,,138,10,,,
Mozambique,Africa,233843,748,,,,2252,7,,,
Martinique,,230354,61384,,,,1104,294,,,
Hungary,Europe,2230800,22834,143,1,143,49053,502,,,
Burkina Faso,Africa,22139,106,,,,400,2,,,
Lao People's Democratic Republic,Western Pacific,219060,3011,,,,671,9,,,
Saint Helena,,2166,35678,,,,0,,,,
Liechtenstein,,21588,55715,,,,89,230,,,
Iceland,Europe,210374,57774,27,7,27,186,51,,,
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2051348,1246,40,,40,29499,18,,,
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,201920,3113,3,,3,4230,65,,,
International conveyance (Kiribati),Other,2,,,,,0,,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
South Sudan,Africa,18823,168,,,,147,1,,,
Slovakia,Europe,1878002,34409,61,1,61,21227,389,1,,1
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Georgia,Europe,1863615,46717,,,,17150,430,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
Uzbekistan,Europe,175081,523,,,,1016,3,,,
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Ireland,Europe,1745088,35152,761,15,761,9744,196,9,,9
Namibia,Africa,172533,6790,,,,4108,162,,,
Uganda,Africa,172154,376,,,,3632,8,,,
Ghana,Africa,172062,554,,,,1462,5,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
T�rkiye,Europe,17004718,20162,,,,101419,120,,,
Tonga,Western Pacific,16976,16061,,,,12,11,,,
Marshall Islands,Western Pacific,16297,27532,,,,17,29,,,
Nicaragua,Americas,16185,244,2,,2,245,4,,,
Dominica,Americas,16047,22290,,,,74,103,,,
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Jamaica,Americas,157181,5308,12,,12,3611,122,,,
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Central African Republic,Africa,15441,320,,,,113,2,,,
Norway,Europe,1512647,28181,745,14,745,5732,107,,,
Kazakhstan,Europe,1504370,8012,,,,19072,102,,,
Finland,Europe,1499712,27143,,,,11466,208,,,
Northern Mariana Islands,Western Pacific,14912,25908,31,54,31,41,71,,,
Montserrat,Americas,1403,28066,,,,8,160,,,
Spain,Europe,13980340,29536,,,,121852,257,,,
Cambodia,Western Pacific,139319,833,6,,6,3056,18,,,
Lithuania,Europe,1369355,49009,807,29,807,9810,351,,,
Slovenia,Europe,1356582,64727,148,7,148,10083,481,4,,4
Rwanda,Africa,133264,1029,,,,1468,11,,,
Bulgaria,Europe,1329988,19132,257,4,257,38700,557,,,
Croatia,Europe,1317144,32457,,,,18752,462,,,
Morocco,Eastern Mediterranean,1279115,3465,,,,16305,44,,,
Gambia,Africa,12627,522,,,,372,15,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Cameroon,Africa,125246,472,,,,1974,7,,,
Guatemala,Americas,1250371,6979,1,,1,20203,113,,,
Lebanon,Eastern Mediterranean,1239904,18166,,,,10947,160,,,
Costa Rica,Americas,1234701,24238,,,,9372,184,,,
Saint Martin (French part),,12324,31879,,,,46,119,,,
Malta,Europe,122796,23864,80,16,80,922,179,1,,1
Bolivia (Plurinational State of),Americas,1212147,10384,2,,2,22387,192,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
International conveyance (Vanuatu),Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Australia,Western Pacific,11861161,46515,,,,25236,99,,,
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113662,9832,,,,8530,75,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
Barbados,Americas,108582,37784,57,20,57,593,206,,,
Ecuador,Americas,1077445,6107,157,1,157,36050,204,,,
Angola,Africa,107481,327,,,,1937,6,,,
Niue,Western Pacific,1074,66378,,,,0,,,,
United Arab Emirates,Eastern Mediterranean,1067030,10789,,,,2349,24,,,
Panama,Americas,1044821,24215,,,,8748,203,,,
Uruguay,Americas,1041346,29978,15,,15,7682,221,,,
United States of America,Americas,103436829,31250,,,,1193165,360,619,,619
Eritrea,Africa,10189,287,,,,103,3,,,
Mongolia,Western Pacific,1011489,30854,,,,2136,65,,,
Argentina,Americas,10101218,22350,54,,54,130663,289,1,,1
Democratic Republic of the Congo,Africa,101009,113,,,,1474,2,,,
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
